"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels","Reporter"
"201","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :641 ","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","onenew"
"202","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :691 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"203","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :732 ","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","onenew"
"204","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :744 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"205","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :754 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"206","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :820 ","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","onenew"
"207","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :868 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"208","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :899 ","Component-CorePy2, Milestone-Review2, Priority-Paragraph, Type-Issue","onenew"
"209","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :976 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"210","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :996 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"211","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :1229 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"212","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :1252 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"213","Issue","Fixed","Review2","CorePy2","Zoom.Quiet","[CorePy2] ch20.1介绍","Component-CorePy2, Milestone-Review2, Priority-Paragraph, Type-Issue","Zoom.Quiet"
"214","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2] ch15 - Chun_ch15.txt :1308 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","onenew"
"215","Issue","Fixed","Review2","CorePy2","Zoom.Quiet","[CorePy2] ch20.1.1","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Issue","Zoom.Quiet"
"216","Issue","Fixed","Review2","CorePy2","Zoom.Quiet","[CorePy2] ch20.1.1 图20-1","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","Zoom.Quiet"
"217","Issue","Fixed","Review2","","Zoom.Quiet","[CorePy2] ch20.1.1 结尾","Milestone-Review2, Priority-Paragraph, Priority-Sentence, Type-Issue","Zoom.Quiet"
"218","Issue","Fixed","Review2","CorePy2","Zoom.Quiet","[CorePy2] ch20.1.2 The Internet","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","Zoom.Quiet"
"219","Issue","Fixed","Review2","CorePy2","Zoom.Quiet","[CorePy2] ch20.1.2 The Internet","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Issue","Zoom.Quiet"
"220","Issue","Fixed","Review2","CorePy2","Zoom.Quiet","[CorePy2] ch20.1.2 The Internet","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Issue","Zoom.Quiet"
"221","Issue","Fixed","Review2","CorePy2","Zoom.Quiet","[CorePy2] ch20.1.2 The Internet","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Issue","Zoom.Quiet"
"222","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- 6.7.1","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"223","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- 6.7.2","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"224","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- 6.7.3 ","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"225","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- 6.7.3 ","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"226","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 1744","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"227","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 1754 line 1756","Component-CorePy2, Milestone-Review2, Priority-Paragraph, Type-Defect","Filia.Tao"
"228","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 1765","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"229","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 1788","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"230","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 1949","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"231","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2030","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"232","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2106","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"233","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2109","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"234","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2136","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"235","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2138","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"236","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2206","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"237","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2224","Component-CorePy2, Milestone-Review2, Priority-Medium, Type-Defect","Filia.Tao"
"238","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2253","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"239","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2303","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"240","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2327","Component-CorePy2, Milestone-Review2, Priority-Medium, Type-Defect","Filia.Tao"
"241","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2379","Component-CorePy2, Milestone-Review2, Priority-Medium, Type-Defect","Filia.Tao"
"242","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- 6.12.3","Component-CorePy2, Milestone-Review2, Priority-Medium, Type-Defect","Filia.Tao"
"243","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2461","Component-CorePy2, Milestone-Review2, Priority-Medium, Type-Defect","Filia.Tao"
"244","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2470","Component-CorePy2, Milestone-Review2, Priority-Medium, Type-Defect","Filia.Tao"
"245","Defect","Fixed","","CorePy2","Filia.Tao","[CorePy2]ch06- line 2373","Component-CorePy2, Priority-Medium, Type-Defect","Filia.Tao"
"246","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2497","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"247","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2556","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"248","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2573","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"249","Defect","Fixed","","CorePy2","Filia.Tao","[CorePy2]ch06- 2625","Component-CorePy2, Priority-Medium, Type-Defect","Filia.Tao"
"250","Defect","Fixed","","","wenliang.lu","[CorePy2] Chap14.1.1","Priority-Sentence, Type-Defect","wenliang.lu"
"251","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- 2672","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"252","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- 2693","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"253","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- line 2812","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"254","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06- 2826","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"255","Defect","Fixed","","","Python.LeoJay","[CorePy2]ch08- 8.2.1 避免悬置的 else","Priority-Medium, Priority-Sentence, Type-Defect","Python.LeoJay"
"256","Defect","Fixed","","","moonsolo","[CorePy2]ch11 line 1929","Priority-Paragraph, Type-Defect","moonsolo"
"257","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3069","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"258","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3071","Component-CorePy2, Milestone-Review2, Priority-Paragraph, Type-Defect","Filia.Tao"
"259","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3107","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"260","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3124","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"261","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3152","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"262","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3189","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"263","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3228","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"264","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3299","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"265","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3318","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"266","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3337","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"267","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3343","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"268","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3376","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"269","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3386","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"270","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3379","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"271","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3400","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"272","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3442","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"273","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3363","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"274","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3635","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"275","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3637","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"276","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3657","Component-CorePy2, Milestone-Review2, Priority-Paragraph, Type-Defect","Filia.Tao"
"277","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3660","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"278","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3725","Component-CorePy2, Milestone-Review2, Priority-Medium, Type-Defect","Filia.Tao"
"279","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3729","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"280","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3735","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"281","Defect","Fixed","","","Filia.Tao","[CorePy2]ch06-line 37040","Priority-Medium, Type-Defect","Filia.Tao"
"282","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-line 3750","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Defect","Filia.Tao"
"283","Defect","Fixed","","CorePy2","Filia.Tao","[CorePy2]ch06-line 3756","Component-CorePy2, Priority-Word, Type-Defect","Filia.Tao"
"284","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch06-勘误","Component-CorePy2, Milestone-Review2, Priority-Chapter, Type-Defect","Filia.Tao"
"285","Defect","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch19-line 147","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Defect","Filia.Tao"
"286","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy]ch17 second round","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Issue","chjsun"
"287","Defect","Fixed","Review1","CorePy2","moonsolo","[CorePy2]ch02 all","Component-CorePy2, Milestone-Review1, Priority-Paragraph, Priority-Sentence, Type-Defect","moonsolo"
"288","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch19-line 552","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"289","Issue","Fixed","Review1","CorePy2","moonsolo","[CorePy2]ch02 line659","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","moonsolo"
"290","Defect","Fixed","","","moonsolo","[corepy2]ch03 line287-337翻译内容遗失","Priority-Paragraph, Type-Defect","moonsolo"
"291","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch19-line 799","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"292","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch19-line 896","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"293","Issue","Fixed","Review2","CorePy2","Angeloliu"," [CorePy2]ch18 third round","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Issue","chjsun"
"294","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch19-line 910","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
