"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels","Reporter"
"1","Defect","Fixed","Review1","","weizhong2004","Python 核心编程第二版第21章","Milestone-Review1, Priority-Chapter, Type-Defect","weizhong2004"
"2","Defect","Fixed","Review1","","","[CorePy2]ch01-2","Milestone-Review1, Priority-Sentence, Type-Defect","hdcola"
"3","Defect","WontFix","","","Angeloliu","[CorePy2]ch01-2","Priority-Medium, Type-Defect","hdcola"
"4","Defect","WontFix","","","","[CorePy2]ch01-3.1","Priority-Medium, Type-Defect","hdcola"
"5","Issue","Fixed","Review1","CorePy2","hdcola","[CorePy2]ch01-3.1","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","hdcola"
"6","Defect","WontFix","","","","[CorePy2]ch01-3.1","Priority-Medium, Type-Defect","hdcola"
"7","Defect","WontFix","","","","[CorePy2]ch01-3.2","Priority-Medium, Type-Defect","hdcola"
"8","Defect","WontFix","","","","[CorePy2]ch01-3.2","Priority-Medium, Type-Defect","hdcola"
"9","Defect","WontFix","","","","[CorePy2]ch01-3.3可升级","Priority-Medium, Type-Defect","hdcola"
"10","Defect","WontFix","","","","[CorePy2]ch01-3.3可升级","Priority-Medium, Type-Defect","hdcola"
"11","Defect","Invalid","Review1","","","[empty]","Milestone-Review1, Priority-Sentence, Type-Defect","hdcola"
"12","Defect","Fixed","","","","[CorePy2]ch01-3.3可升级","Priority-Medium, Type-Defect","hdcola"
"13","Defect","Fixed","","","","[CorePy2]ch01-3.5可移植性","Priority-Medium, Type-Defect","hdcola"
"14","Defect","Fixed","","","","[CorePy2]ch01-3.5可移植性","Priority-Medium, Type-Defect","hdcola"
"15","Defect","Fixed","","","","[CorePy2]ch01-3.6易学","Priority-Medium, Type-Defect","hdcola"
"16","Defect","WontFix","","","","[CorePy2]ch01-3.7易读","Priority-Medium, Type-Defect","hdcola"
"17","Defect","Fixed","","","","[CorePy2]ch01-3.7易读","Priority-Medium, Type-Defect","hdcola"
"18","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-3.12解释性和（字节）编译性","Priority-Medium, Type-Defect","hdcola"
"19","Defect","Fixed","","","digitalwit","[CorePy2]ch01-3.12解释性和（字节）编译性","Priority-Medium, Type-Defect","hdcola"
"20","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-3.12解释性和（字节）编译性","Priority-Medium, Type-Defect","hdcola"
"21","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-5运行Python","Priority-Medium, Type-Defect","hdcola"
"22","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-5运行Python","Priority-Medium, Type-Defect","hdcola"
"23","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-5运行Python","Priority-Medium, Type-Defect","hdcola"
"24","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-5.1从命令行执行交互的解释器","Priority-Medium, Type-Defect","hdcola"
"25","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-5.1从命令行执行交互的解释器","Priority-Medium, Type-Defect","hdcola"
"26","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-7比较python","Priority-Medium, Type-Defect","hdcola"
"27","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-7比较python","Priority-Medium, Type-Defect","hdcola"
"28","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-7比较python","Priority-Medium, Type-Defect","hdcola"
"29","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-7比较python","Priority-Medium, Type-Defect","hdcola"
"30","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-7比较python","Priority-Medium, Type-Defect","hdcola"
"31","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-7比较python","Priority-Medium, Type-Defect","hdcola"
"32","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-7比较python","Priority-Medium, Type-Defect","hdcola"
"33","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-7比较python","Priority-Medium, Type-Defect","hdcola"
"34","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-练习","Priority-Medium, Type-Defect","hdcola"
"35","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-练习","Priority-Medium, Type-Defect","hdcola"
"36","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-练习","Priority-Medium, Type-Defect","hdcola"
"37","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-练习","Priority-Medium, Type-Defect","hdcola"
"38","Defect","Fixed","","","Angeloliu","[CorePy2]ch01-练习","Priority-Medium, Type-Defect","hdcola"
"39","Issue","Fixed","Review1","CorePy2","","","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","chjsun"
"40","Defect","Fixed","Review1","CorePy2","Angeloliu","16.1  Introduction","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Defect","chjsun"
"41","Issue","Fixed","Review1","CorePy2","hdcola","[CorePy2]ch05-开头","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","hdcola"
"42","Issue","Fixed","Review1","CorePy2","hdcola","[CorePy2]ch05-1简介","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","hdcola"
"43","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch17 line 37","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","chjsun"
"44","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch17 line 882","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","chjsun"
"45","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch16 line 1797","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","chjsun"
"46","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch8-8.1 代码段","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"47","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy]ch08-8.1.2 line 124","Component-CorePy2, Milestone-Review1, Priority-Paragraph, Type-Issue","Filia.Tao"
"48","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy]ch08-8.2.1 line 172","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"49","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy]ch08-8.2.1 line 224","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"50","Issue","Fixed","Review1","CorePy2","Filia.Tao","[CorePy]ch08-8.4 line 319","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"51","Issue","Fixed","Review1","CorePy2","wenliang.lu","[CorePy2]ch09 ","Component-CorePy2, Milestone-Review1, Priority-Paragraph, Type-Issue","wenliang.lu"
"52","Issue","Fixed","Review1","CorePy2","wenliang.lu","[CorePy2]ch09 line:97","Component-CorePy2, Milestone-Review1, Priority-Paragraph, Type-Issue","wenliang.lu"
"53","Issue","Fixed","Review1","CorePy2","wenliang.lu","[CorePy2]ch09 line: 103","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","wenliang.lu"
"54","Issue","Fixed","Review1","CorePy2","wenliang.lu","[CorePy2]ch09.01-03","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","wenliang.lu"
"55","Issue","Fixed","Review1","CorePy2","Angeloliu","   [CorePy2]ch21","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","onenew"
"56","Issue","Fixed","Review1","CorePy2","wenliang.lu","[CorePy2]ch09.04-11","Component-CorePy2, Milestone-Review1, Priority-Chapter, Type-Issue","wenliang.lu"
"57","Issue","Fixed","Review1","CorePy2","wenliang.lu","[CorePy2]ch09 line:128/147","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","wenliang.lu"
"58","Defect","Duplicate","","","wenliang.lu","[CorePy2]ch09 line:128/147","Priority-Medium, Type-Defect","wenliang.lu"
"59","Defect","Duplicate","","","wenliang.lu","[CorePy2]ch09 line:128/147","Priority-Medium, Type-Defect","wenliang.lu"
"60","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2] ch08-8.6.1 line 485","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"61","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.6.2 line 513","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"62","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.6.2 line 546","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"63","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.6.2 line 582","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"64","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.6.4 line 749","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"65","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.8 line 905","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"66","Issue","Fixed","Review1","CorePy2","Filia.Tao","[CorePy2]ch08-8.8 line 867","Component-CorePy2, Milestone-Review1, Priority-Paragraph, Type-Issue","Filia.Tao"
"67","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.9 line 931","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"68","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.10 line 962","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"69","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.10 line 962","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"70","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.11.1 line 1030","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"71","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.11.3 line 1073","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"72","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.12 line 1292","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"73","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.12 line 1342","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"74","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch08-8.15 line 1745","Component-CorePy2, Milestone-Review1, Priority-Sentence, Priority-Word, Type-Issue","Filia.Tao"
"75","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch12","Component-CorePy2, Milestone-Review1, Priority-Paragraph, Type-Issue","chjsun"
"76","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch23-23.1.1 line204","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"77","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch23-23.2.2 line 404","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"78","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch11","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","samsonyarn"
"79","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch23-23.2.2 line 512","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"80","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch23-23.2.5 line 844","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"81","Issue","Fixed","Review1","CorePy2","Angeloliu"," [CorePy2]ch22","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","onenew"
"82","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch23","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","onenew"
"83","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch23-23.4 line 1222","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"84","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch23-23.4 line 1240","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"85","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch23-23.4 line 1281","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"86","Issue","Fixed","","CorePy2","wenliang.lu","[CorePy2]ch15 全部","Component-CorePy2, Priority-Medium, Type-Issue","wenliang.lu"
"87","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-ch4.1","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"88","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-4.3","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"89","Issue","Fixed","Review2","CorePy2","digitalwit","[CorePy2]ch15","Component-CorePy2, Milestone-Review2, Priority-Chapter, Type-Issue","digitalwit"
"90","Issue","Fixed","Review1","CorePy2","Zoom.Quiet","[CorePy2]ch20-2 表格 20.7 Web程序相关模块","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Zoom.Quiet"
"91","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-4.4","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"92","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-4.5","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"93","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-4.6 line 651","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"94","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-4.6.4 line 789- line 796","Component-CorePy2, Milestone-Review1, Priority-Paragraph, Type-Issue","Filia.Tao"
"95","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-4.6.4 line 816","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"96","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-4.7","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"97","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-4.8","Component-CorePy2, Milestone-Review1, Priority-Sentence, Type-Issue","Filia.Tao"
"98","Issue","Fixed","Review1","CorePy2","Angeloliu","[CorePy2]ch04-4.10","Component-CorePy2, Milestone-Review1, Priority-Word, Type-Issue","Filia.Tao"
"99","Issue","Fixed","Review2","CorePy2","Angeloliu","[CorePy2]ch22 - 22.1.2","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Issue","Filia.Tao"
"100","Issue","Fixed","Review2","CorePy2","Filia.Tao","[CorePy2]ch22 - 22.2.1","Component-CorePy2, Milestone-Review2, Priority-Word, Type-Issue","Filia.Tao"
This file is truncated to 100 out of 1201 total results.  See https://code.google.com/p/openbookproject/issues/csv?can=1&q=&colspec=ID%20Type%20Status%20Milestone%20Component%20Owner%20Summary%20AllLabels%20Reporter&groupby=&sort=&start=100 for the next set of results.
