"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels","Reporter"
"1001","Defect","Fixed","TechReview","","shengyan1985","[LovPy] PCS217 例图","Milestone-TechReview, Priority-Medium, Type-Defect","kongjianjun"
"1002","Task","Fixed","TechReview","LovePy","shengyan1985","[LovPy]统一 Linux 为 GNU/Linux","Component-LovePy, Milestone-TechReview, Priority-Word, Type-Task","Zoom.Quiet"
"1003","Task","Fixed","TechReview","LovePy","kongjianjun","[LovPy]清查Python 字样","Component-LovePy, Milestone-TechReview, Priority-Word, Type-Task","Zoom.Quiet"
"1004","Enhancement","Fixed","TechReview","LovePy","Aurthmyth"," [LovPy]术语索引增补PCS指引","Component-LovePy, Milestone-TechReview, Priority-Sentence, Type-Enhancement","Aurthmyth"
"1005","Enhancement","Fixed","","LovePy","shengyan1985","[LovPy]术语索引 ->Aa~Dd ->API","Component-LovePy, Priority-Sentence, Type-Enhancement","Aurthmyth"
"1006","Enhancement","Fixed","","LovePy","shengyan1985"," [LovPy]术语索引 ->Ee~Ii ->FreeBSD","Component-LovePy, Priority-Word, Type-Enhancement","Aurthmyth"
"1007","Defect","Fixed","TechReview","LovePy","kongjianjun","[LovPy] 精简地址统一改为精巧地址","Component-LovePy, Milestone-TechReview, Priority-Medium, Type-Defect","kongjianjun"
"1008","Enhancement","Fixed","TechReview","LovePy","shengyan1985","[LovPy]统一CPUG 为 CPyUG","Component-LovePy, Milestone-TechReview, Priority-Word, Type-Enhancement","Zoom.Quiet"
"1009","Patch","Fixed","","LovePy","kongjianjun","[LovPy] Python 资源索引","Component-LovePy, Priority-Sentence, Type-Patch","kongjianjun"
"1010","Enhancement","Fixed","TechReview","LovePy","Zoom.Quiet","[LocPy]术语索引-条目增强","Component-LovePy, Milestone-TechReview, Priority-Sentence, Type-Enhancement","Zoom.Quiet"
"1011","Patch","Fixed","ReviewEnd","LovePy","Zoom.Quiet","[LovPy]KDays 故事问题","Component-LovePy, Milestone-ReviewEnd, Priority-Chapter, Type-Patch","Zoom.Quiet"
"1012","Patch","Fixed","ReviewEnd","LovePy","Zoom.Quiet","[LovPy]KDay代码函式qpubish()修订","Component-LovePy, Milestone-ReviewEnd, Priority-Code, Type-Patch","Zoom.Quiet"
"1013","Defect","Fixed","TechReview","LovePy","kongjianjun","[LovPy] 建议将 windows 统一改为 Windows","Component-LovePy, Milestone-TechReview, Priority-Medium, Type-Defect","kongjianjun"
"1014","Enhancement","Fixed","","LovePy","shengyan1985","[LovPy]Eurasia3章节源代码中是import Eurasia还是eurasia?","Component-LovePy, Priority-Code, Priority-Word, Type-Enhancement","shengyan1985"
