"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels","Reporter"
"601","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 614","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"602","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 686","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"603","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 688 - 7.5.2","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"604","Patch","Fixed","Review3","CorePy2","wenliang.lu","[CorePy2]前言之章节介绍翻译","Component-CorePy2, Milestone-Review3, Priority-Medium, Priority-Paragraph, Type-Patch","wenliang.lu"
"605","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 844","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"606","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 854","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"607","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 857","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"608","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 860","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"609","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 995","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"610","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 1094","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"611","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 1225","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"612","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 1343","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"613","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 1388","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"614","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 1467","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"615","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 1518","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"616","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 1536","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"617","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch07-line 1010 - 可疑","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"618","Defect","Fixed","Review3","CorePy2","moonsolo","[CorePy2]ch06 all","Component-CorePy2, Milestone-Review3, Priority-Chapter, Type-Defect","moonsolo"
