"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels","Reporter"
"901","Defect","Fixed","TechReview","LovePy","shengyan1985","[LovPy] PCS106 写文件","Component-LovePy, Milestone-TechReview, Priority-Medium, Type-Defect","kongjianjun"
"902","Enhancement","Fixed","Review1","LovePy","kongjianjun","[LovPy] PCS106 文件打开方式","Component-LovePy, Milestone-Review1, Priority-Medium, Type-Enhancement","kongjianjun"
"903","Defect","Fixed","","LovePy","shengyan1985","[LovPy]PCS200 os  ->问题","Component-LovePy, Priority-Word, Type-Defect","Aurthmyth"
"904","Defect","Fixed","Review1","LovePy","Aurthmyth","[LovPy]PCS203 epydoc ->文档生成","Component-LovePy, Milestone-Review1, Priority-Code, Type-Defect","Aurthmyth"
"905","Defect","Fixed","Review1","LovePy","shengyan1985","[LovPy]CDay2 Karrigell-> 重构 ->表单","Component-LovePy, Milestone-Review1, Priority-Code, Priority-Medium, Type-Defect","shengyan1985"
"906","Defect","Fixed","Review1","LovePy","kongjianjun","[LovPy] PCS107  格式化操作符","Component-LovePy, Milestone-Review1, Priority-Code, Priority-Medium, Type-Defect","kongjianjun"
"907","Enhancement","Fixed","Review1","LovePy","kongjianjun","[LovPy] PCS107  格式化选项介绍","Component-LovePy, Milestone-Review1, Priority-Medium, Priority-Sentence, Type-Enhancement","kongjianjun"
"908","Enhancement","Fixed","Review1","LovePy","kongjianjun","[LovPy] PCS107  格式化操作符","Component-LovePy, Milestone-Review1, Priority-Medium, Priority-Sentence, Type-Enhancement","kongjianjun"
"909","Enhancement","Fixed","","LovePy","shengyan1985","[LovPy] PCS108]  函式参数","Component-LovePy, Priority-Code, Priority-Medium, Priority-Sentence, Type-Enhancement","kongjianjun"
"910","Defect","Fixed","","LovePy","shengyan1985","[LovPy] PCS108]  lambda函式","Component-LovePy, Priority-Code, Priority-Medium, Type-Defect","kongjianjun"
"911","Defect","Fixed","","LovePy","shengyan1985","[LovPy] PCS110  使用if代替switch","Component-LovePy, Priority-Code, Priority-Medium, Type-Defect","kongjianjun"
"912","Enhancement","Fixed","","LovePy","shengyan1985","[LovPy] PCS110  三元运算","Component-LovePy, Priority-Medium, Type-Enhancement","kongjianjun"
"913","Defect","Fixed","","LovePy","shengyan1985","[LovPy]PCS209  fnmatch ->使用  ->filter(names, pat)","Component-LovePy, Priority-Code, Type-Defect","Aurthmyth"
