"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels","Reporter"
"501","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch20 line 1166","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"502","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch20 line 1178","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"503","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch20 line 1200","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"504","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch20 line 1255","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"505","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch20 line 1320","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"506","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch20 line 1338","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"507","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch20 line 1344","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"508","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch20 line 1351","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"509","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch02 - line 41","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"510","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 45","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"511","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 75","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"512","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 79","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"513","Issue","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 83","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Issue","Filia.Tao"
"514","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 95","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"515","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 106","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"516","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 180","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"517","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch02 - line 670 - 来自勘误中 -- 重要","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"518","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 212","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"519","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 234","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"520","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 266","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"521","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch10 - line 329","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
