"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels","Reporter"
"401","Enhancement","Fixed","Review3","CorePy2","shizhensong","[CorePy2]ch20 1908行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Enhancement","shizhensong"
"402","Enhancement","Fixed","Review3","CorePy2","shizhensong","[CorePy2]ch20 1917行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Enhancement","shizhensong"
"403","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 65","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"404","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 127","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"405","Enhancement","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2]ch07.3","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Enhancement","wenliang.lu"
"406","Enhancement","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2] chap07.4","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Enhancement","wenliang.lu"
"407","Defect","Fixed","Review3","CorePy2","Filia.Tao","ch16-line 113","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"408","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 139","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"409","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"410","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 157","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"411","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 251","Component-CorePy2, Milestone-Review3, Priority-Sentence, Type-Defect","Filia.Tao"
"412","Enhancement","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2] chap07.5","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Enhancement","wenliang.lu"
"413","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 331","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"414","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 361","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"415","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 504","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"416","Enhancement","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2] chap07.6-07.7","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Enhancement","wenliang.lu"
"417","Enhancement","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2] chap07.8-07.9","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Enhancement","wenliang.lu"
"418","Defect","Fixed","","","Filia.Tao","[CorePy2]ch16-关于 客户与 客户端 - 讨论","Priority-Medium, Type-Defect","Filia.Tao"
"419","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 1264 Table 16.2","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"420","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 1429","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"421","Enhancement","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2] chap07.10-end","Component-CorePy2, Milestone-Review2, Priority-Sentence, Type-Enhancement","wenliang.lu"
"422","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 1651","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"423","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 1729","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"424","Defect","Fixed","Review3","CorePy2","Filia.Tao","[CorePy2]ch16-line 1893","Component-CorePy2, Milestone-Review3, Priority-Word, Type-Defect","Filia.Tao"
"425","Patch","Fixed","Review2","CorePy2","wenliang.lu","[CorePy2] chap07 英文代码注释","Component-CorePy2, Milestone-Review2, Priority-Code, Type-Patch","wenliang.lu"
"426","Defect","Fixed","Review3","CorePy2","jepher","[CorePy]ch3 第30行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"427","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第76行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"428","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第105行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"429","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第153行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"430","Defect","Fixed","TechReview","","zsp007","第十章的部分翻译问题","Milestone-TechReview, Priority-Medium, Type-Defect","zsp007"
"431","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第289行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"432","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第293行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"433","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第299行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"434","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第305行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"435","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 标识符、标示符不统一","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"436","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 Python大小写不统一","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"437","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第327行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"438","Defect","Fixed","","","","","Priority-Medium, Type-Defect","jepher"
"439","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第388行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"440","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第392行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"441","Enhancement","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第409行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Enhancement","jepher"
"442","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第409行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"443","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第494行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"444","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第502行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"445","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第507行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"446","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第513行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"447","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第527行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
"448","Defect","Fixed","Review3","CorePy2","jepher","[CorePy2]ch3 第568行","Component-CorePy2, Milestone-Review3, Priority-Medium, Type-Defect","jepher"
