"ID","Type","Status","Milestone","Component","Owner","Summary","AllLabels","Reporter"
"801","Defect","Fixed","Review1","LovePy","shengyan1985","[LovelyPython]CDay2.moin 语法字词错误/解释模糊","Component-LovePy, Milestone-Review1, Priority-Code, Type-Defect","shengyan1985"
"802","Issue","Fixed","Review1","LovePy","shengyan1985","[LovelyPython]CDay3.moin 字词错误","Component-LovePy, Milestone-Review1, Priority-Word, Type-Issue","shengyan1985"
"803","Issue","Fixed","Review1","LovePy","shengyan1985","[LovelyPython]CDayN.moin 字词错误","Component-LovePy, Milestone-Review1, Priority-Word, Type-Issue","shengyan1985"
"804","Issue","Fixed","Review1","LovePy","","[LovelyPy][CDay2]1.4.2. 运行 type issue","Component-LovePy, Milestone-Review1, Priority-Word, Type-Issue","zhaoshiwei1975"
"805","Issue","Fixed","","DiP","xiaqqaix","[DiP]3.7. 连接 list 与分割 字符串","Component-DiP, Priority-Word, Type-Issue","Zoom.Quiet"
"806","","Fixed","","DiP","xiaqqaix","[DiP] 5.4. 类的实例化(18行）","Component-DiP","guoxi349"
"807","Issue","Fixed","","DiP","xiaqqaix","SGMLParser的子类化问题","Component-DiP, Priority-Paragraph, Type-Issue","xiaqqaix"
"808","Issue","Fixed","Review1","LovePy","Zoom.Quiet","[LovePy]CDays0语句通顺/PCS指引/内容","Component-LovePy, Milestone-Review1, Priority-Sentence, Type-Issue","shengyan1985"
"809","Defect","Fixed","TechReview","LovePy","Zoom.Quiet","[LovePy]CDays1代码注释","Component-LovePy, Milestone-TechReview, Priority-Code, Type-Defect","shengyan1985"
"810","Issue","Duplicate","Review1","LovePy","Zoom.Quiet","根据盛mm的修订,我让文字编辑看过一遍,答复如下,供参考","Component-LovePy, Milestone-Review1, Priority-Medium, Type-Issue","zhaoshiwei1975"
"811","Issue","Fixed","Review1","LovePy","Zoom.Quiet","ActivePython说明主语重复","Component-LovePy, Milestone-Review1, Priority-Code, Priority-Word, Type-Issue","Julien.GONG"
"812","Issue","Fixed","Review1","LovePy","Zoom.Quiet","CDay-5 1.2.3文档名称错误","Component-LovePy, Milestone-Review1, Priority-Word, Type-Issue","Julien.GONG"
"813","Issue","Fixed","Review1","LovePy","shengyan1985","CDay2/内容疑问","Component-LovePy, Milestone-Review1, Priority-Word, Type-Issue","shengyan1985"
"814","Issue","Fixed","Review1","LovePy","Zoom.Quiet","[LovePy]CDays-4 第一段例程解释不通顺","Component-LovePy, Milestone-Review1, Priority-Word, Type-Issue","Julien.GONG"
"815","Defect","Fixed","TechReview","LovePy","Zoom.Quiet","CDay3/代码有误","Component-LovePy, Milestone-TechReview, Priority-Code, Type-Defect","shengyan1985"
"816","Task","Fixed","Review2","LovePy","paradise.qingfeng","PCS的样章","Component-LovePy, Milestone-Review2, Priority-Chapter, Type-Task","paradise.qingfeng"
"817","Defect","Fixed","","LovePy","shengyan1985","""交互环境之iPython""  这一节应该介绍一下pyreadlines 模块吧,没有这个模块的话IPython 是不完整的，好象语法高亮就需要这个模块?","Component-LovePy, Priority-Chapter, Priority-Medium, Type-Defect","yi.codeplayer"
"818","Defect","Fixed","TechReview","LovePy","shengyan1985","[LovePy]CDays  图CDay-3-2 ","Component-LovePy, Milestone-TechReview, OpSys-Linux, Priority-pic, Type-Defect","jianjun@zeuux.org"
"819","Defect","Fixed","TechReview","LovePy","shengyan1985","[LovePy]PCS100 模块定义问题","Component-LovePy, Milestone-TechReview, OpSys-All, Priority-Medium, Type-Defect","Aurthmyth"
"820","Enhancement","Fixed","TechReview","LovePy","shengyan1985","[LovePy]PCS100 语法篇 ->模块","Component-LovePy, Milestone-TechReview, Priority-Code, Type-Enhancement","Aurthmyth"
"821","Defect","Invalid","TechReview","LovePy","xypmdxx","[LovePy]4.1开门见山 Django快速体验－开门见山","Component-LovePy, Milestone-TechReview, Priority-Sentence, Type-Defect","xypmdxx"
